指數代碼,指數名稱,日期,價格指數值,報酬指數值,漲跌點數,漲跌百分比
IX0114,中小型300指數,2026/04/01,14012.61,18035.97,440.92,3.25%
IX0114,中小型300指數,2026/03/31,13571.69,17465.79,-441.88,-3.15%
IX0124,智慧投資多因子30指數,2026/04/02,7316.73,10014.59,-28.39,-0.39%
IX0124,智慧投資多因子30指數,2026/04/01,7345.12,10053.44,100.07,1.38%
IX0124,智慧投資多因子30指數,2026/03/31,7245.05,9916.47,-69.29,-0.95%
IX0125,智慧中立指數,2026/04/02,3100.79,4263.7,13.66,0.44%
IX0125,智慧中立指數,2026/04/01,3087.13,4244.95,2.15,0.07%
IX0125,智慧中立指數,2026/03/31,3084.98,4241.93,-15.34,-0.49%
IX0126,臺股期貨指數,2026/04/02,17890.14,0,-503.88,-2.74%
IX0126,臺股期貨指數,2026/04/01,18394.02,0,783.63,4.45%
IX0126,臺股期貨指數,2026/03/31,17610.39,0,-269.29,-1.51%
IX0132,臺灣電動車指數,2026/04/02,13812.54,17171.02,-236.61,-1.68%
IX0132,臺灣電動車指數,2026/04/01,14049.15,17465.17,587.87,4.37%
IX0132,臺灣電動車指數,2026/03/31,13461.28,16734.36,-567.72,-4.05%
IX0133,臺灣企業社會責任中小型指數,2026/04/02,12343.71,16427.26,-107.44,-0.86%
IX0133,臺灣企業社會責任中小型指數,2026/04/01,12451.15,16570.25,440.23,3.67%
IX0133,臺灣企業社會責任中小型指數,2026/03/31,12010.92,15980.29,-415.26,-3.34%
IX0134,臺灣上櫃永續指數,2026/04/02,9672.47,12060.42,-165.36,-1.68%
IX0134,臺灣上櫃永續指數,2026/04/01,9837.83,12266.61,454.41,4.84%
IX0134,臺灣上櫃永續指數,2026/03/31,9383.42,11699.68,-443.46,-4.51%
IX0137,特選Smart多因子指數,2026/04/02,13255.5,16236.58,-256.97,-1.9%
IX0137,特選Smart多因子指數,2026/04/01,13512.47,16551.33,592.84,4.59%
IX0137,特選Smart多因子指數,2026/03/31,12919.63,15824.31,-388.05,-2.92%
IX0139,臺灣科技龍頭通訊指數,2026/04/02,16753.93,20238.77,-382.52,-2.23%
IX0139,臺灣科技龍頭通訊指數,2026/04/01,17136.45,20700.86,887.51,5.46%
IX0139,臺灣科技龍頭通訊指數,2026/03/31,16248.94,19628.75,-554.56,-3.3%
IX0142,臺灣全市場指數,2026/04/02,11099.13,13133.69,-182.55,-1.62%
IX0142,臺灣全市場指數,2026/04/01,11281.68,13349.56,484.86,4.49%
IX0142,臺灣全市場指數,2026/03/31,10796.82,12775.34,-321.92,-2.9%
IX0143,臺灣全市場半導體指數,2026/04/02,11899.12,14300.06,-231.25,-1.91%
IX0143,臺灣全市場半導體指數,2026/04/01,12130.37,14577.35,533.17,4.6%
IX0143,臺灣全市場半導體指數,2026/03/31,11597.2,13936.53,-422.03,-3.51%
IX0150,特選小資高價30指數,2026/04/02,14356.54,16653.05,-415.54,-2.81%
IX0150,特選小資高價30指數,2026/04/01,14772.08,17135.06,908.85,6.56%
IX0150,特選小資高價30指數,2026/03/31,13863.23,16080.82,-664.55,-4.57%
IX0152,特選臺灣綠能及電動車指數,2026/04/02,8220.59,9866.13,-178.3,-2.12%
IX0152,特選臺灣綠能及電動車指數,2026/04/01,8398.89,10080.12,391.56,4.89%
